year,university,country,rank,score
2023,Massachusetts Institute of Technology (MIT),United States,1,100
2023,University of Cambridge,United Kingdom,2,98.8
2023,Stanford University,United States,3,98.5
2023,University of Oxford,United Kingdom,4,98.4
2023,Harvard University,United States,5,97.6
2023,California Institute of Technology (Caltech),United States,6,97
2023,Imperial College London,United Kingdom,7,97
2023,UCL,United Kingdom,8,95
2023,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,9,93.6
2023,University of Chicago,United States,10,93.2
2023,National University of Singapore (NUS),Singapore,11,92.7
2023,Peking University,China (Mainland),12,91.3
2023,University of Pennsylvania,United States,13,90.6
2023,Tsinghua University,China (Mainland),14,90.1
2023,The University of Edinburgh,United Kingdom,15,89.5
2023,EPFL,Switzerland,16,89.2
2023,Princeton University,United States,17,89.2
2023,Yale University,United States,18,89
2023,"Nanyang Technological University, Singapore (NTU)",Singapore,19,88.4
2023,Cornell University,United States,20,87.2
2023,The University of Hong Kong,Hong Kong SAR,21,87
2023,Columbia University,United States,22,86.7
2023,The University of Tokyo,Japan,23,85.3
2023,Johns Hopkins University,United States,24,85.1
2023,University of Michigan-Ann Arbor,United States,25,84.4
2023,Université PSL,France,26,83.8
2023,"University of California, Berkeley (UCB)",United States,27,82.7
2023,The University of Manchester,United Kingdom,28,82.3
2023,Seoul National University,South Korea,29,82.2
2023,The Australian National University,Australia,30,82.1
2023,McGill University,Canada,31,81.9
2023,Northwestern University,United States,32,81.8
2023,The University of Melbourne,Australia,33,81.6
2023,Fudan University,China (Mainland),34,81.5
2023,University of Toronto,Canada,35,81.5
2023,Kyoto University,Japan,36,81.4
2023,King's College London,United Kingdom,37,81.2
2023,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,38,80.6
2023,New York University (NYU),United States,39,80.3
2023,The Hong Kong University of Science and Technology,Hong Kong SAR,40,79.8
2023,The University of Sydney,Australia,41,79.6
2023,KAIST - Korea Advanced Institute of Science & Technology,South Korea,42,79.3
2023,Zhejiang University,China (Mainland),43,79.3
2023,"University of California, Los Angeles (UCLA)",United States,44,78.7
2023,The University of New South Wales (UNSW Sydney),Australia,45,78
2023,Shanghai Jiao Tong University,China (Mainland),46,77.4
2023,University of British Columbia,Canada,47,77
2023,Institut Polytechnique de Paris,France,48,76.8
2023,Technical University of Munich,Germany,49,76.4
2023,Duke University,United States,50,74.8
2023,The University of Queensland,Australia,51,74.8
2023,Carnegie Mellon University,United States,52,74.6
2023,"University of California, San Diego (UCSD)",United States,53,74.5
2023,City University of Hong Kong,Hong Kong SAR,54,73.6
2023,Tokyo Institute of Technology (Tokyo Tech),Japan,55,72.5
2023,The London School of Economics and Political Science (LSE),United Kingdom,56,72.3
2023,Monash University,Australia,57,71.6
2023,University of Amsterdam,Netherlands,58,71.1
2023,Ludwig-Maximilians-Universität München,Germany,59,70.4
2023,Sorbonne University,France,60,70.1
2023,Delft University of Technology,Netherlands,61,70
2023,University of Bristol,United Kingdom,62,70
2023,Brown University,United States,63,69.6
2023,The University of Warwick,United Kingdom,64,69.1
2023,Ruprecht-Karls-Universität Heidelberg,Germany,65,69
2023,The Hong Kong Polytechnic University,Hong Kong SAR,66,69
2023,Universidad de Buenos Aires (UBA),Argentina,67,68.9
2023,Osaka University,Japan,68,68.2
2023,Université Paris-Saclay,France,69,68.1
2023,Universiti Malaya (UM),Malaysia,70,67.9
2023,Pohang University of Science And Technology (POSTECH),South Korea,71,67.7
2023,University of Texas at Austin,United States,72,67.4
2023,Yonsei University,South Korea,73,67
2023,Korea University,South Korea,74,66.9
2023,Lomonosov Moscow State University,Russia,75,66.8
2023,KU Leuven,Belgium,76,66
2023,National Taiwan University (NTU),Taiwan,77,65.7
2023,University of Southampton,United Kingdom,78,65
2023,Tohoku University,Japan,79,64.9
2023,University of Washington,United States,80,64.7
2023,University of Glasgow,United Kingdom,81,64.6
2023,University of Copenhagen,Denmark,82,64.1
2023,University of Wisconsin-Madison,United States,83,63.7
2023,University of Zurich,Switzerland,84,63.7
2023,University of Illinois at Urbana-Champaign,United States,85,63.6
2023,University of Leeds,United Kingdom,86,62.8
2023,The University of Auckland,New Zealand,87,62.7
2023,Georgia Institute of Technology,United States,88,62.3
2023,KTH Royal Institute of Technology,Sweden,89,62.1
2023,The University of Western Australia,Australia,90,61.7
2023,University of Birmingham,United Kingdom,91,61.1
2023,Durham University,United Kingdom,92,60.9
2023,Pennsylvania State University,United States,93,60.8
2023,University of Science and Technology of China,China (Mainland),94,60.7
2023,Lund University,Sweden,95,60.1
2023,The University of Sheffield,United Kingdom,96,59.5
