year,university,faculty,degree_name,employed_%,ft_perm_employed_%,mean_basic_salary_sgd,median_basic_salary_sgd,mean_gross_salary_sgd,median_gross_salary_sgd,p25_gross_salary_sgd,p75_gross_salary_sgd
2022,NTU,College of Business (Nanyang Business School),Accountancy,98.30,97.60,"3,965","3,600","4,031","3,600","3,600","4,300"
2022,NTU,College of Business (Nanyang Business School),Accountancy and Business,98.00,96.90,"5,473","4,833","5,580","4,942","4,167","6,230"
2022,NTU,College of Business (Nanyang Business School),Business,94.00,86.50,"4,407","4,000","5,303","4,615","3,600","4,800"
2022,NTU,College of Business (Nanyang Business School),Double Degree in Business and Computer Engineering/Computing,100.00,100.00,"6,307","6,000","6,627","6,500","6,000","7,500"
2022,NTU,College of Engineering,Aerospace Engineering,94.00,93.00,"4,752","4,800","4,899","5,000","4,160","5,500"
2022,NTU,College of Engineering,Bioengineering,93.00,90.90,"4,160","4,000","4,419","4,200","3,650","5,250"
2022,NTU,College of Engineering,Chemical and Biomolecular Engineering,96.60,93.30,"4,580","4,500","4,733","4,800","4,028","5,100"
2022,NTU,College of Engineering,Civil Engineering,88.40,83.40,"3,699","3,600","3,788","3,650","3,500","3,975"
2022,NTU,College of Engineering,Computer Engineering,87.00,85.20,"5,366","5,285","5,463","5,295","4,500","6,215"
2022,NTU,College of Engineering,Computer Science,94.00,91.70,"5,515","5,400","5,699","5,500","4,900","6,420"
2022,NTU,College of Engineering,Data Science and Artificial Intelligence,93.00,91.70,"6,457","6,300","6,735","6,625","5,700","7,500"
2022,NTU,College of Engineering,Double Degree in Engineering and Economics,100.00,100.00,"5,150","5,100","5,344","5,000","4,700","5,815"
2022,NTU,College of Engineering,Electrical and Electronic Engineering,92.40,90.20,"4,595","4,500","4,723","4,558","4,100","5,050"
2022,NTU,College of Engineering,Environmental Engineering,93.50,90.50,"3,988","3,943","4,139","4,000","3,400","4,500"
2022,NTU,College of Engineering,Information Engineering and Media,95.30,90.20,"5,085","5,000","5,187","4,950","4,500","5,500"
2022,NTU,College of Engineering,Maritime Studies,96.20,95.10,"3,842","3,740","3,860","3,740","3,500","4,060"
2022,NTU,College of Engineering,Materials Engineering,94.90,92.60,"3,607","3,600","3,522","3,500","3,300","3,900"
2022,NTU,College of Engineering,Mechanical Engineering,95.00,91.30,"4,381","4,200","4,537","4,500","3,944","5,000"
2022,NTU,"College of Humanities, Arts & Social Sciences","Art, Design and Media",89.50,63.20,"3,303","3,200","3,372","3,200","3,000","3,600"
2022,NTU,"College of Humanities, Arts & Social Sciences",Chinese,91.80,70.50,"3,408","3,300","3,566","3,600","3,060","4,015"
2022,NTU,"College of Humanities, Arts & Social Sciences",Communication Studies,96.00,93.80,"4,623","4,600","4,733","4,930","3,600","4,900"
2022,NTU,"College of Humanities, Arts & Social Sciences",Economics,94.90,91.70,"4,187","4,000","4,270","4,000","3,600","4,550"
2022,NTU,"College of Humanities, Arts & Social Sciences",English,94.90,77.20,"3,574","3,500","3,699","3,748","3,200","4,200"
2022,NTU,"College of Humanities, Arts & Social Sciences",History,86.00,80.80,"3,487","3,400","3,548","4,000","3,200","4,250"
2022,NTU,"College of Humanities, Arts & Social Sciences",Interdisciplinary Double Major,88.20,66.70,"4,135","4,200","4,258","4,271","3,650","4,570"
2022,NTU,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,89.60,73.20,"3,452","3,300","3,513","3,450","3,150","3,810"
